variableName;variableDescription
"s_1";"I understand what the system should do. "
"email";"E-mail"
"statoverall_1";"Overall Status - New"
"statoverall_2";"Overall Status - Distributed"
"statoverall_3";"Overall Status - Partially Complete"
"statoverall_4";"Overall Status - Complete"
"statoverall_5";"Overall Status - Rejected"
"s_10";"What is your age in years?"
"s_11";"What best describes your living situation?"
"s_12";"How concerned are you about home security?"
"s_13";"Do you have a home security system?"
"s_14";"How familiar were you with silent alarm functionality in home security systems before this test?"
"s_2";"The system helps me achieve my goals."
"s_3";"I understand the limitations of the system."
"s_4";"I understand the capabilities of the system."
"s_5";"The system performs consistently."
"s_6";"The system performs the way it should."
"s_7";"I feel comfortable relying on the information provided by the system."
"s_8";"I understand how the system executes tasks."
"s_9";"I am rarely surprised by how the system responds."
"s_17";"If faced with a real threat, how confident are you that you would use the silent alarm functionality? "
"s_15";"Do you have any final thoughts about the usability of the system?"
"s_18";"Do you have any concerns about the security of the system?"
"s_16";"Want to tell us more? You're welcome to leave your email below."
"id";"id"
"s_35";"What's your country of residence?"
"s_30";"Choose from understandable (1) to not understandable (7)"
"s_31";"Choose from difficult to learn (1) to easy to learn (7)"
"s_32";"Choose from complicated (1) to easy (7)"
"s_33";"Choose from confusing (1) to clear (7)"
"s_21";"Choose from unpredictable (1) to predictable (7)"
"s_34";"Choose from obstructive (1) to supportive (7)"
"s_23";"Choose from not secure (1) to secure (7)"
"s_26";"Choose from does not meet expectations (1) to meets expectations (7)"
